,p_rated [MW],Nwt,solar_MW [MW],b_P [MW],b_E_h [h],cost_of_battery_P_fluct_in_peak_price_ratio
0,8.0,185.0,174.0,44.0,2.0,14.703217496467216
1,1.0,107.0,303.0,0.0,8.0,13.405373582848556
2,3.0,366.0,97.0,17.0,7.0,19.43298420628118
3,5.0,281.0,362.0,30.0,10.0,2.0968039531783744
4,4.0,229.0,295.0,52.0,10.0,16.518149813791176
5,6.0,320.0,345.0,6.0,3.0,17.221396446292772
6,2.0,93.0,159.0,49.0,4.0,8.497776907825342
7,9.0,157.0,390.0,81.0,6.0,6.589694723013552
8,4.0,8.0,228.0,96.0,5.0,5.432281481181299
9,1.0,50.0,47.0,58.0,9.0,18.162120260708832
10,7.0,72.0,30.0,25.0,6.0,1.5145127432987568
11,10.0,210.0,249.0,86.0,7.0,4.764561974357708
12,7.0,275.0,20.0,91.0,1.0,10.117315564183194
13,3.0,174.0,74.0,25.0,4.0,0.6803486660150015
14,5.0,136.0,103.0,71.0,3.0,15.534916854927086
15,6.0,248.0,140.0,15.0,1.0,11.71376686841002
16,2.0,348.0,328.0,66.0,8.0,7.380335183527573
17,8.0,396.0,184.0,63.0,2.0,9.470620903918073
18,9.0,331.0,220.0,40.0,9.0,3.351892996193043
19,10.0,33.0,271.0,80.0,5.0,12.822406738355692
