kind,abbreviated_name,hydesign_name
system,EGO,hydesign.Parallel_EGO.EfficientGlobalOptimizationDriver
system,HKN,HKN fixed data and hpp_model constructor arguments
system,GNN,design_friendly.utils.easy.easy_yaw_gnn
system,EVAL,hpp_pywake_gnn_loads.hpp_model.evaluate input/derived-value mapping
system,ABL,abl
system,PW,pywake_comp
system,PV,pvp
system,EMS,ems
system,PW_ACT,pywake_actual_comp
system,B_DEG,battery_degradation
system,B_TMP,battery_loss_in_capacity_due_to_temp
system,PV_DEG,pvp_with_degradation
system,B_REL,battery_with_reliability
system,W_REL,wpp_with_reliability
system,PV_REL,pvp_with_reliability
system,LT_EMS,ems_long_term_operation
system,W_COST,wpp_cost
system,PV_COST,pvp_cost
system,B_COST,battery_cost
system,SH_COST,shared_cost
system,FIN,finance
variable,A_PV,Apvp
variable,A_PV_MW,land_use_per_solar_MW
variable,A_W,Awpp
variable,AEP,mean_AEP
variable,ALT,altitude
variable,AZI,surface_azimuth
variable,b_deg_l,b_t_with_deg
variable,B_E,b_E
variable,B_E_H,b_E_h
variable,b_l,b_t
variable,B_P,b_P
variable,b_rel_l,b_t_rel
variable,BATCH,ems_batch_size / batch_size
variable,BE_PPA,break_even_PPA_price
variable,C_B_BOP,battery_BOP_installation_commissioning_cost
variable,C_B_CTRL,battery_control_system_cost
variable,C_B_E,battery_energy_cost
variable,C_B_ONM,battery_energy_onm_cost
variable,C_B_P,battery_power_cost
variable,C_BFLUCT,cost_of_battery_P_fluct_in_peak_price_ratio
variable,C_BOS,hpp_BOS_soft_cost
variable,C_GRID,hpp_grid_connection_cost
variable,C_INV,solar_inverter_cost
variable,C_LAND,land_cost
variable,C_PV,solar_PV_cost
variable,C_PV_FIX,solar_fixed_onm_cost
variable,C_PV_INST,solar_hardware_installation_cost
variable,C_W_CIV,wind_civil_works_cost
variable,C_W_FIX,wind_fixed_onm_cost
variable,C_W_VAR,wind_variable_onm_cost
variable,C_WT,wind_turbine_cost
variable,CAPEX,CAPEX
variable,capex_a,CAPEX_vec
variable,CAPEX_B,CAPEX_b
variable,capex_b_a,CAPEX_b_vec
variable,CAPEX_EL,CAPEX_el
variable,CAPEX_PV,CAPEX_s
variable,capex_pv_a,CAPEX_s_vec
variable,CAPEX_REF,CAPEX_ref
variable,CAPEX_SH,CAPEX_sh
variable,capex_sh_a,CAPEX_sh_vec
variable,CAPEX_SH_FIX,CAPEX_sh_fixed
variable,CAPEX_SH_PV,CAPEX_sh_s_land
variable,CAPEX_SH_W,CAPEX_sh_w_land
variable,CAPEX_W,CAPEX_w
variable,capex_w_a,CAPEX_w_vec
variable,CLR,clearance
variable,CURT,total_curtailment
variable,CURT_DEG,total_curtailment_with_deg
variable,D,d
variable,D_REF,d_ref
variable,DECOM_PV,decommissioning_cost_tot_s
variable,DECOM_W,decommissioning_cost_tot_w
variable,del_act_s_i_y,DEL_actual
variable,del_ref_s_i_y,DEL_ref
variable,del_s_i_y,DEL
variable,dep_a,depreciation
variable,dep_yr_a,depreciation_yr
variable,DOD,battery_depth_of_discharge
variable,EMS_TYPE,ems_type
variable,ETA_B,battery_charge_efficiency
variable,ETA_W,wpp_efficiency
variable,FARM,farm
variable,FARM_LOAD,farm_load
variable,G,G_MW
