x_m,y_m
5275.96739999996,-3067.4129999992065
6467.688199999947,-2503.3605999995766
7816.759200000013,-1780.3391999996825
8979.398400000026,-856.4445999998412
8930.990599999906,424.6936000001058
5086.12760000004,-1031.1472000002116
8910.5,1705.988000000529
8934.90979999992,2993.8854000001584
9015.395399999992,4273.88760000037
8199.463400000026,5406.351800000052
6021.865,685.8458000003174
7495.768199999947,6541.244199999683
6775.274399999927,7617.930800000317
6055.121399999894,8693.339400000423
5335.266599999974,9769.131399999893
4284.480799999987,10716.512799999788
4811.243999999933,2445.012799999788
3620.176399999894,4409.469199999682
3077.1684000000264,6188.928000000528
2826.921800000053,8046.870200000741
2693.044200000013,10227.195
1080.2649999999999,9812.526600000634
3243.99,-1248.5065999993124
1814.56119999998,1245.8227999997882
991.955199999914,2974.1048000005817
385.5868000000529,4996.2131999999465
-360.0977999999537,7809.5881999999465
-1132.5210000000661,6733.143000000528
1472.4547999999206,-1992.6859999997355
0.0,0.0
-1441.655,2748.211200000476
-2678.645399999993,4581.147200000211
-1905.583199999947,5657.152200000211
-530.3557999999867,-3878.2755999995766
-2063.558199999947,-2007.468199999947
-3328.4373999999602,235.7768000000529
-5392.222799999953,814.4126000003703
-4638.415799999986,1860.6402000007406
-3885.12,2906.441800000053
-3528.7,-5050.1731999999465
-4920.683400000026,-2531.7605999995767
-6145.476000000066,-232.4397999992594
-6899.694800000086,-1277.645
-7472.920399999993,-2423.371999999471
-7944.928400000026,-3618.585999999735
-1519.7407999999866,-5636.590599999577
-5841.141599999974,-4782.190800000317
-8416.680799999986,-4814.9643999991
-9495.284400000091,-7548.322399999629
-9962.606400000059,-8733.255599999577
-10429.729600000006,-9918.515400000158
564.1092000000132,-5340.137200000211
-4651.21,-8125.893199999947
-7080.773199999947,-7839.479199999682
-6984.880600000072,-9503.53459999984
-10896.994800000086,-11102.156399999894
-11364.032799999954,-12286.521599999312
2293.953199999947,-4315.976399999894
-2190.7334000000264,-8419.71959999984
-4245.274600000006,-9955.818799999523
-6791.178400000026,-11258.115
-8493.488600000106,-12023.253600000106
-9929.122799999954,-12154.859199999682
230.8209999999008,-8705.906399999894
2650.7707999999866,-8963.153600000105
2118.5405999999075,-10840.393600000105
525.3005999999074,-10945.317399999629
-1079.3703999999934,-11109.639799999259
-2652.3896000000063,-11303.995199999417
